id,x,y,z,mass,vx,vy,vz,eps
0,0.471854,0.109532,0.898546,0.0427048,1.50598,-0.201938,0.211511,0.440171
1,0.155792,0.362259,1.14432,0.0427048,-0.827354,-1.04581,-0.657011,0.440171
2,-1.65319,0.135823,-0.696959,0.0427048,-0.118088,0.295221,-0.971446,0.440171
3,-0.210591,0.232564,0.439258,0.0427048,-0.30167,-1.97366,-1.14899,0.440171
4,-0.439041,-0.185291,-2.49282,0.0427048,0.554362,0.0457008,-0.186751,0.440171
5,-1.52558,1.21061,-2.2118,0.0427048,0.634363,0.211379,0.546641,0.440171
6,-0.965275,0.698453,1.73958,0.0427048,-0.545286,-0.999528,1.1108,0.440171
7,-1.0976,0.459807,-1.85199,0.0427048,-0.0719517,1.50955,0.172947,0.440171
8,2.48425,-2.95108,-0.96325,0.0427048,0.299756,-0.0986682,-0.295139,0.440171
9,-2.09847,-2.95628,1.02516,0.0427048,-0.627069,-0.321997,-0.0935786,0.440171
10,-0.711964,-0.257347,-0.754757,0.0427048,0.786308,-0.411092,2.33488,0.440171
11,-0.530605,3.41436,-1.97537,0.0427048,0.652301,0.334412,-0.043385,0.440171
12,0.368627,2.39676,2.9769,0.0427048,0.236031,0.858063,-0.179802,0.440171
13,0.854367,5.13899,-0.843117,0.0427048,-0.200771,-0.252562,-0.195157,0.440171
14,-1.55918,-0.953786,-2.36333,0.0427048,1.156,0.599742,-0.694605,0.440171
15,3.65349,-1.012,-2.08909,0.0427048,0.439587,-0.505155,-0.6431,0.440171
16,-2.81585,-0.429286,-1.29421,0.0427048,1.12255,0.991704,-0.601852,0.440171
17,1.04489,-3.85501,1.76673,0.0427048,-0.628641,-0.30678,-0.804044,0.440171
18,-3.14177,-1.10977,-1.38425,0.0427048,0.822509,-0.219284,-1.20469,0.440171
19,-2.40763,-1.67757,-0.243436,0.0427048,-1.08938,-1.01911,-1.09764,0.440171
20,1.26741,4.88141,-0.877192,0.0427048,0.615011,0.503758,0.410406,0.440171
21,1.50043,-2.44044,-1.90487,0.0427048,1.07237,-0.979038,-0.572451,0.440171
22,-3.23399,0.0162688,-3.69414,0.0427048,-0.564149,-0.0476367,0.455138,0.440171
23,0.42857,1.28983,3.58556,0.0427048,-0.959841,0.806062,-0.168825,0.440171
24,-3.11359,2.50224,-1.63961,0.0427048,-0.90816,0.976343,0.00920154,0.440171
25,-1.21389,0.855098,-4.12584,0.0427048,-0.269686,0.634108,0.779697,0.440171
26,3.239,2.00569,-0.672451,0.0427048,-1.47169,0.842717,0.122793,0.440171
27,3.2138,-1.07838,-0.744054,0.0427048,0.285186,-1.7437,-0.516945,0.440171
28,-1.48223,1.42244,0.122353,0.0427048,0.321128,-1.43436,1.9425,0.440171
29,2.7438,0.681859,1.0507,0.0427048,0.297014,-0.612748,-1.87765,0.440171
30,-4.48599,3.02708,-2.48993,0.0427048,0.222634,-0.00132148,0.868821,0.440171
31,-3.79855,1.10237,-1.10914,0.0427048,-0.663264,-1.5182,-0.148416,0.440171
32,2.21175,-1.77364,-1.82359,0.0427048,-0.0836983,-1.5417,-1.04455,0.440171
33,0.866578,-3.50561,-0.463301,0.0427048,-0.290253,1.60525,-0.93484,0.440171
34,-3.01548,1.16008,-3.02512,0.0427048,1.0967,0.507611,-0.755921,0.440171
35,-5.56845,1.32878,3.75112,0.0427048,-0.0434552,0.474987,-0.102313,0.440171
36,-2.18231,1.20153,0.0304236,0.0427048,1.43884,-0.369669,1.83054,0.440171
37,5.99783,-0.716934,-1.68718,0.0427048,-0.424708,-0.384544,0.874633,0.440171
38,-4.81473,3.801,3.25359,0.0427048,0.465607,-0.342787,0.218591,0.440171
39,-3.1958,6.26511,-2.32621,0.0427048,-0.521148,0.297357,-0.0520973,0.440171
40,5.66757,1.55411,1.91452,0.0427048,1.00065,0.271229,0.448412,0.440171
41,-4.20898,1.83418,0.157685,0.0427048,0.832107,0.614438,-1.35058,0.440171
42,-1.88043,-2.09629,-4.19148,0.0427048,0.246178,-0.975725,0.766804,0.440171
43,0.951522,2.43387,-2.81165,0.0427048,-1.21797,-1.25197,-0.172898,0.440171
44,-1.57435,-3.17284,-1.55542,0.0427048,-1.41695,-0.305928,1.17645,0.440171
45,-4.5005,2.70098,-3.09322,0.0427048,-0.760596,0.836813,0.0235769,0.440171
46,0.000880122,-5.37451,4.56705,0.0427048,0.396889,0.360693,-0.58588,0.440171
47,1.96441,-1.84797,-6.10188,0.0427048,0.274142,0.709742,0.067324,0.440171
48,0.229304,6.24605,-2.77165,0.0427048,-0.118395,0.995848,0.310446,0.440171
49,-6.19989,1.82731,1.55229,0.0427048,-0.812173,-0.868759,-0.254037,0.440171
50,-6.19162,3.76283,-3.72863,0.0427048,-0.30684,0.0526047,0.438907,0.440171
51,-4.34225,0.880393,-5.40376,0.0427048,0.294124,-0.637863,-0.41711,0.440171
52,3.86123,0.0927393,0.554552,0.0427048,-0.494478,-1.90589,0.607655,0.440171
53,-0.204939,-0.606478,-2.59253,0.0427048,1.5643,-1.23871,1.1193,0.440171
54,2.2835,1.77204,-3.16244,0.0427048,-0.658252,1.47789,0.726846,0.440171
55,1.10376,-4.35479,1.89317,0.0427048,0.21694,0.857751,-1.48772,0.440171
56,-0.855261,-3.68444,2.27134,0.0427048,-1.10194,1.44788,0.00637074,0.440171
57,0.502735,5.8793,-4.03035,0.0427048,-0.240965,-0.182689,-0.966213,0.440171
58,2.20504,4.68814,5.86315,0.0427048,0.421757,-0.0352737,0.529618,0.440171
59,-3.92993,0.406947,4.92424,0.0427048,0.109783,-0.0126136,-1.19032,0.440171
60,-1.56629,5.29076,2.28882,0.0427048,1.26704,-0.592184,0.503367,0.440171
61,-6.92812,-1.3557,2.33941,0.0427048,1.0213,0.148087,-0.613499,0.440171
62,-0.814604,8.51475,1.45701,0.0427048,0.4541,0.824991,0.293554,0.440171
63,-0.795669,-4.12218,3.68547,0.0427048,-0.761443,-0.898044,-0.98316,0.440171
64,-3.6821,-8.1786,-1.61787,0.0427048,-0.55042,0.688217,-0.138265,0.440171
65,2.25985,-5.6555,-3.06851,0.0427048,1.08886,0.373051,-0.66091,0.440171
66,10.1661,-1.58831,-1.70314,0.0427048,0.468663,-0.125179,0.0512729,0.440171
67,-1.7434,-3.50726,0.593567,0.0427048,1.90811,0.0284686,-1.06753,0.440171
68,-9.91857,-0.456136,-3.03071,0.0427048,-0.207792,-0.356531,0.243125,0.440171
69,0.516745,-4.82706,-1.29853,0.0427048,-0.658406,-0.153366,-1.79569,0.440171
70,-7.71969,0.710391,-1.48767,0.0427048,0.595647,1.1285,-0.286139,0.440171
71,4.44458,3.28174,0.189782,0.0427048,-1.55963,0.842113,-0.59908,0.440171
72,0.437774,0.102532,-8.44401,0.0427048,-0.41991,-0.492142,-0.285708,0.440171
73,8.77798,2.14042,-3.27673,0.0427048,0.520122,0.0603655,-0.672002,0.440171
74,10.5149,4.93954,-0.0516536,0.0427048,0.114049,0.342614,0.30211,0.440171
75,-3.2242,0.300486,8.04579,0.0427048,0.547192,0.395638,0.325039,0.440171
76,0.383298,-0.38189,-0.848334,0.0427048,-2.72106,1.53754,-0.96782,0.440171
77,-1.50782,7.81296,0.482086,0.0427048,-0.796449,-0.977731,0.625742,0.440171
78,5.81051,2.54924,0.646402,0.0427048,-1.61771,-0.570104,-0.227805,0.440171
79,9.23695,4.4646,-2.22962,0.0427048,-0.257921,0.356362,0.631935,0.440171
80,-2.9006,-0.190316,-3.31851,0.0427048,-0.0720557,-0.938009,-1.74284,0.440171
81,-4.99409,-2.8372,4.0943,0.0427048,-0.429349,0.292531,-1.29391,0.440171
82,-1.55848,1.46257,-1.84263,0.0427048,1.37322,-1.30025,-1.66625,0.440171
83,4.38181,6.36269,-5.49062,0.0427048,-0.458903,-0.351977,-0.637315,0.440171
84,0.757645,1.57184,-3.36001,0.0427048,-2.12297,-0.211792,-0.303372,0.440171
85,-1.82928,-5.02905,-5.72055,0.0427048,-0.815329,-0.783011,0.413977,0.440171
86,5.27357,-3.37574,7.83861,0.0427048,0.411167,0.408948,-0.278793,0.440171
87,5.70294,1.06988,-3.96269,0.0427048,0.218797,-0.276844,-1.45976,0.440171
88,0.932719,1.07585,-2.07094,0.0427048,-0.131247,2.03919,1.67916,0.440171
89,-4.33525,6.122,5.97117,0.0427048,-0.229235,0.0826913,0.878195,0.440171
